candidate_id,"x [nm]","y [nm]",Δx [nm],Δy [nm],sigma_x,sigma_y,del_sigma_x,del_sigma_y,p,"t [ms]",Δt [ms],N_events,x_dim [px],y_dim [px],t_dim [ms],frame
0,40915.51887119186,31385.13313923366,16.217249984372767,11.72313221476999,78.55128221958667,88.9026417757847,17.00738346210441,11.733482956338733,2,805.2838867149401,5.280443760643293,48,6,6,113.653,1
1,37902.22320145456,30424.87195501221,4.6653706583915096,4.797221121494516,102.89736990402307,105.94154187707544,4.402522647705892,4.534963578830364,2,847.2758422887131,31.91000384859077,139,11,12,218.529,43
2,32957.1309719716,33531.00076936426,28.441604611312652,7.323616282065521,115.55170530819154,120.86611875695375,19.254203560940297,7.269928302996716,2,1205.2750920749245,9.843651253645756,87,7,9,193.043,401
3,37834.1920272478,33256.44821599429,5.15802064839142,5.456976201860848,95.15185179806028,100.6846686068782,4.866383548810994,5.154234400987279,2,1297.2855364966174,37.27150725202593,123,10,12,156.262,493
4,35848.105339740076,28249.77755462625,5.421823884928257,5.2500006435705435,105.14074069407803,101.7805641190611,5.210502568212164,5.025536576338686,2,1320.1013763281605,3.02276617733127,122,11,10,232.013,516
5,34558.78666811047,31478.433527908543,5.206854907390875,4.593934429828353,98.5722402476057,87.04959450652792,4.889059994815826,4.323679869887158,2,1417.4445007732813,85.62514398600447,119,10,11,242.51,613
6,36936.73354958825,35380.50348279134,4.4782462878543825,5.39020369247866,96.06171031043607,115.61724240601036,4.247734491439864,5.105158510000018,2,1511.3401799131912,222.57446647780503,174,12,11,325.415,707
7,35504.04212244407,31393.850801857,9.064308152789845,5.996269086537314,89.48435702135477,59.147874346571314,8.888710546839985,6.2394094237375874,2,1689.5814914199511,4.041875681249731,37,6,8,137.239,886
8,38242.83018151957,32998.082245042926,5.025792423624338,5.286168910667122,112.89718414375983,118.66575503304301,4.985804496309405,5.207451596194775,2,1812.5925983680277,11.77407301831823,197,11,10,412.968,1009
9,40235.184124771215,33132.578951563315,9.92219098854928,10.642091533201683,96.08411138543836,101.87911100896942,10.006777268619715,10.724289393077871,2,2225.631966034383,4.7190752582723015,106,10,7,244.639,1422
10,40695.73113532938,31435.858462654338,6.69752422324127,6.649341110970843,98.89791796556408,98.18316273527158,6.4480192354440335,6.42007329254827,1,2322.1378583838123,3.320902885807322,61,8,12,114.779,1518
11,36336.230344151154,31327.990474765043,7.915380474292597,8.713538390320764,82.60569763922473,91.04170880428221,7.550029875243616,8.329555790185065,2,2536.7017195980848,8.139382760213163,56,10,8,137.197,1733
12,35759.44052832957,32344.830930263226,7.229207597271103,7.239902498053908,99.93059950909893,100.0835477685,6.725630592011172,6.741375027508774,2,2574.7074166637194,13.941988734506118,170,13,12,258.71,1771
13,35420.911744474506,31537.182205685607,6.3095686880377455,9.266627721057995,81.94922037311328,120.32463257394966,6.077196974912653,8.884074978318072,2,2812.4347182735683,6.010599471848453,68,10,10,172.574,2008
14,40832.90153275658,31442.14884527857,4.649076754574266,3.381175583630606,72.72811949782644,52.70343610288842,4.23518978516643,2.5782340950199183,2,2863.664708165605,7.6506569852340425,107,6,12,194.196,2060
15,33567.277747336346,35645.38345432536,8.458733085427589,8.884991754504469,76.29566127093754,80.22309333910141,7.866208842532576,8.297494586012506,2,2904.262617686513,13.273126593758542,40,9,9,106.893,2100
16,37922.89581580278,30337.01311634489,6.201328943641657,6.748669978142065,125.22041177446386,136.27237256191128,5.994515174916967,6.519996389456768,1,3170.831011111111,97.19491521730897,226,13,13,367.183,2367
17,36232.19269881046,34406.649249180125,4.725913879783713,4.731018799526174,114.12568398464201,114.24905461348172,4.428073925343657,4.43336930519485,2,3047.4888582298427,8.395971120537842,170,13,14,339.169,2243
18,38308.454965506746,33046.1381919306,5.794021724881723,6.8673461454053975,91.7160319153208,108.73093408840548,5.417214694297466,6.416317029179648,2,3142.8355804163107,6.403997956064476,97,13,11,255.939,2339
19,35424.77996810609,31579.330003956,6.236441725041486,7.45464176952156,97.31380556206793,116.32724253284422,5.922283173631885,7.081310093810734,2,3200.381549778534,10.893275640790549,185,11,12,401.246,2396
20,34687.56265798597,30409.63622659119,6.3870105683951035,4.809415504559549,99.4608554648306,74.97210183702825,5.913034632286499,4.4989070544109415,2,3226.4887171703385,12.046631210230686,82,12,11,119.409,2422
21,37951.14965407454,31828.09296634752,3.3888084996099925,3.09002540314097,120.87168180804925,110.21692525159995,3.1426221923059727,2.865554039773557,2,3241.302700612,29.777099911030927,294,16,14,419.901,2437
22,37923.33484593324,30303.154299326565,4.7061668293776275,5.249848657828657,113.38271700719491,126.47874138199604,4.500677900016827,5.020546744944743,2,3408.91120265006,460.2843615964894,93,12,13,247.393,2605
23,34804.16207854433,28128.633179327844,5.91154327898725,5.575232859150388,91.95314828705051,85.40332700531295,5.817746661711258,5.557190033373773,1,3689.5256503487476,24.66703124016521,93,9,7,106.925,2886
24,37402.86480828261,29688.44189808318,6.730902341286525,7.748089323997915,90.65579627796652,104.33042091199722,6.571962986435224,7.565207104435298,2,3729.08758409512,6.6849689219723585,109,9,9,206.02100000000002,2925
25,37246.117090891734,32469.939475670064,7.422161423802281,7.295307948379702,98.42561732703983,97.14157594993475,7.39973361394642,7.43326556759224,2,3845.076494907306,12.690116352845205,59,6,11,69.284,3041
